id_product;reference;price;id_shop_default;is_virtual;name;link_rewrite;active;shopname;id_image;name_category;price_final;nb_downloadable;sav_quantity;badge_danger;seo_score;readability_score;key_phrase
1;9999900007145;189.833333;1;0;"JUVEDERM VOLBELLA avec Lidocaine (2x1ml)";juvederm-volbella-avec-lidocaine-2x1ml;1;"Hyaluronic Filler Market";802;"Dermal Filler";0;;874;0;166;57;"JUVEDERM VOLBELLA"
8;9999900006018;189.833333;1;0;"JUVEDERM VOLIFT avec Lidocaïne (2x1ml)";juvederm-volift-avec-lidocaine-2x1ml;1;"Hyaluronic Filler Market";804;"Dermal Filler";0;;941;0;158;57;"JUVEDERM VOLIFT"
9;9999900001709;199.000000;1;0;"JUVEDERM VOLUMA avec Lidocaïne (2x1ml)";juvederm-voluma-avec-lidocaine;1;"Hyaluronic Filler Market";261;"Dermal Filler";0;;947;0;0;57;
11;9999900002676;94.000000;1;0;"JUVEDERM ULTRA 2 (2x0,55ml)";juvederm-ultra-2;1;"Hyaluronic Filler Market";262;"Dermal Filler";0;;10;0;170;57;JUVEDERM
13;9999900001716;159.916667;1;0;"JUVEDERM ULTRA 3 (2x1ml)";juvederm-ultra-3;1;"Hyaluronic Filler Market";167;"Dermal Filler";0;;35;0;168;57;Juvederm
14;9999900001686;159.916667;1;0;"JUVEDERM ULTRA 4 (2x1ml)";juvederm-ultra-4;1;"Hyaluronic Filler Market";805;"Dermal Filler";0;;13;0;124;57;"JUVEDERM ULTRA 4"
20;9999900004441;49.166667;1;0;"STYLAGE Special Lips - VIVACY";stylage-special-lips;1;"Hyaluronic Filler Market";561;"Dermal Filler";0;;502;0;0;57;
21;9999900001785;138.333333;1;0;"STYLAGE XL (2x1ml)";stylage-xl-2x1ml;1;"Hyaluronic Filler Market";562;"Dermal Filler";0;;935;0;144;57;"Stylage XL"
22;9999900005240;30.833333;1;0;"STYLAGE HYDRO";stylage-hydro;1;"Hyaluronic Filler Market";563;"Dermal Filler";0;;789;0;0;57;
23;9999900002744;42.083333;1;0;"STYLAGE HYDRO MAX";stylage-hydro-max;1;"Hyaluronic Filler Market";564;MESOTHERAPIE;0;;859;0;0;60;
25;;141.666667;1;0;"TEOSYAL Deep Lines";teosyal-deep-lines;0;"Hyaluronic Filler Market";174;"Dermal Filler";0;;30;0;4;57;
26;;16.510000;1;0;"TEOSYAL Kiss";teosyal-kiss;0;"Hyaluronic Filler Market";175;Teoxane;0;;199;0;13;57;
27;;154.166667;1;0;"TEOSYAL Ultra Deep";teosyal-ultra-deep;0;"Hyaluronic Filler Market";176;Teoxane;0;;30;0;1;57;
28;;16.510000;1;0;"TEOSYAL Global Action";teosyal-global-action;0;"Hyaluronic Filler Market";177;Teoxane;0;;199;0;4;57;
29;;16.510000;1;0;"TEOSYAL Ultimate";teosyal-ultimate;0;"Hyaluronic Filler Market";178;Teoxane;0;;199;0;7;57;
30;;58.333333;1;0;"TEOSYAL Meso";teosyal-meso;0;"Hyaluronic Filler Market";179;Teoxane;0;;9;0;10;57;
31;;16.510000;1;0;"TEOSYAL Touch Up";teosyal-touch-up;0;"Hyaluronic Filler Market";180;Teoxane;0;;200;0;4;63;
32;;91.666667;1;0;"TEOSYAL PureSense First Lines";teosyal-puresense-first-lines;0;"Hyaluronic Filler Market";264;Teoxane;0;;30;0;4;57;
33;;145.833333;1;0;"TEOSYAL PureSense Kiss";teosyal-puresense-kiss;0;"Hyaluronic Filler Market";152;Teoxane;0;;30;0;4;57;
34;;158.333333;1;0;"TEOSYAL PureSense Ultra Deep";teosyal-puresense-ultra-deep;0;"Hyaluronic Filler Market";148;Teoxane;0;;30;0;7;57;
35;;145.833333;1;0;"TEOSYAL PureSense Global Action";teosyal-puresense-global-action;0;"Hyaluronic Filler Market";153;Teoxane;0;;30;0;4;57;
36;;145.833333;1;0;"TEOSYAL PureSense Ultimate 2ml";teosyal-puresense-ultimate-2ml;0;"Hyaluronic Filler Market";149;Teoxane;0;;39;0;4;57;
