Product_ID;Product_Name;Total_Quantity_Sold;Average_Purchase_Price;Average_Selling_Price
534;"DIVES MED BTX 5ml";1470;14.4200000000;44.8964613923
562;"DIVES WRINKLEOUT Ha+ 5ml";1040;11.7000000000;16.8225952819
698;"DIVES LipoShoock+ 10ml";843;16.0300000000;23.0887500000
574;"DIVES DeHyal+ Hyaluronidase 1x1500 UI";734;16.3299990000;36.8628598738
540;"DIVES MESOMIX+ Facteurs de croissance 10ml";468;6.3500000000;10.8287195122
558;"DIVES Argireline Peptide 10% 10ml";388;6.5800000000;16.1260416375
551;"DIVES Organic Silicon 10ml";340;3.7041666667;10.0625000000
579;"DIVES VITAMIN-C 20% 1x10ml";320;6.8600000000;10.2173913043
531;"Dives Eyelines 1x5ml";303;13.3000000000;21.2588886905
529;"DIVES EYEBAG 5ml";303;15.8854545455;26.6433332468
555;"DIVES GLOW-X9 Cold Mask 35ml";296;4.3400000000;5.8944734474
580;"DIVES RICH HAIR 1x5ml";282;10.4300000000;16.3178909184
537;"DIVES ACNEOUT 5ml";255;13.3000000000;17.5705767692
586;"DIVES Glycolic Peel 50%";234;37.8000000000;52.5673076923
746;"DIVES - Bright eyes";216;13.5995081967;27.5748360656
556;"DIVES LipGLAM X6 5ml";165;19.6000000000;27.6997276327
559;"DIVES WRINKLEOUT Ha+ 10x5ml (restaure rapidement peaux matures et endommagées)";160;112.7000000000;160.0000000000
524;"DIVES FILLER VOLUME 1ml";147;45.5000000000;64.1666670000
535;"DIVES MED BTX 10x5ml";140;144.2000000000;213.6868750000
589;"DIVES MANDELIC PEEL 40%";129;31.5000000000;51.4699165750
526;"DIVES LIPS 1ml";124;39.9000000000;53.1671012174
567;"DIVES QPeel 5ml";117;0.0000000000;31.0144114706
536;"DIVES MED L-CARNITINE 500";111;63.5800000000;95.1776470588
578;"DIVES RICH HAIR 10x5ml";104;104.3000000000;142.6340647317
560;"DIVES CELLUSHOOCK+ (10 X 10 ml)";90;95.5952941176;164.5196081176
532;"DIVES Skinrepair 10x5ml";72;107.1000000000;157.5833333333
571;"DIVES Organic Silicon + DMAE 10x10ml";70;37.3153846154;90.6923076923
541;"DIVES Facteur de croissance + Acide Ferulique et EQ-10  10x10ml";56;63.5800000000;92.8216669286
582;"DIVES FERULIC PEEL";56;41.3000000000;54.5525639231
563;"DIVES Anti-Age Soft Peel";51;37.1000000000;52.3329408824
568;"DIVES Pink Age 10x5ml";48;105.0000000000;154.5000000000
587;"DIVES Glycolic Peel 35%";44;36.1700000000;48.8674244545
565;"DIVES PEELING GLOW-X9 5x4ml";42;74.9000000000;108.3333330714
588;"DIVES REVITAL DEEP PEEL";42;43.4000000000;64.3095240714
585;"DIVES ACNEOUT PEEL";38;46.9000000000;66.6668424211
584;"DIVES HYDRA Micellar 300ml";36;0.0000000000;17.5003335000
561;"DIVES Hydra Royal 3X1ml";36;48.8090909091;73.3530301818
660;"DIVES LIPS Lidocaine 2X1ml";32;87.4300000000;117.2857142857
573;"DIVES DeHyal+ Hyaluronidase 1500 UI";32;104.2880000000;115.5577776667
661;"DIVES Filler Ultra Universal Lidocaine 1 ml";28;75.5300000000;103.3333330000
522;"DIVES FILLER UNIVERSAL 1ml";28;40.6000000000;64.2222223333
528;"DIVES FINE LINES 1ml";25;15.4120000000;52.0000000000
581;"DIVES LACTIC PEELING + DMAE";20;0.0000000000;60.4333336000
554;"DIVES GLOW-X9 Pre Treatment Spray 100ml";18;8.8666666667;18.9444441667
570;"DIVES Argireline Peptide 10% 10x10ml";16;63.5800000000;96.1879166250
662;"DIVES Fine Line Lidocaine 1ml";12;52.0333333333;108.4588886667
521;"DIVES FILLER UNIVERSAL 2ml";12;73.6633333333;99.9000000000
572;"DIVES Organic Silicon 10x10ml";10;63.5800000000;90.0000000000
575;"DIVES Artichoke Complex 10x10ml";6;69.9300000000;96.6666670000
577;"DIVES VITAMIN-C 20% 10x10ml";5;68.6000000000;118.0000000000
569;"DIVES Multi-Vitamin Complex 10x10ml";4;0.0000000000;98.3333330000
583;"DIVES HYDRA Toner 500ml";4;16.2800000000;21.3750000000
564;"DIVES HYDRA Cleanser 500ml";4;16.1000000000;22.4166670000
576;"DIVES Artichoke Complex 1x10ml";4;0.0000000000;9.1666670000
530;"Dives Eyelines 10x5ml";3;133.0000000000;227.0000000000
566;"DIVES QPeel 4x5ml";3;104.9300000000;149.1666670000
