nom_du_produit;id_categorie;id_produit;nom_de_la_categorie
"JUVEDERM VOLBELLA avec Lidocaine (2x1ml)";86;1;"Dermal Filler"
"JUVEDERM VOLIFT avec Lidocaïne (2x1ml)";86;8;"Dermal Filler"
"JUVEDERM VOLUMA avec Lidocaïne (2x1ml)";86;9;"Dermal Filler"
"JUVEDERM ULTRA 2 (2x0,55ml)";86;11;"Dermal Filler"
"JUVEDERM ULTRA 3 (2x1ml)";86;13;"Dermal Filler"
"JUVEDERM ULTRA 4 (2x1ml)";86;14;"Dermal Filler"
"STYLAGE Special Lips - VIVACY";86;20;"Dermal Filler"
"STYLAGE XL (2x1ml)";86;21;"Dermal Filler"
"STYLAGE HYDRO";86;22;"Dermal Filler"
"STYLAGE HYDRO MAX";96;23;MESOTHERAPIE
"TEOSYAL Deep Lines";86;25;"Dermal Filler"
"TEOSYAL Kiss";14;26;Teoxane
"TEOSYAL Ultra Deep";14;27;Teoxane
"TEOSYAL Global Action";14;28;Teoxane
"TEOSYAL Ultimate";14;29;Teoxane
"TEOSYAL Touch Up";14;31;Teoxane
"TEOSYAL PureSense Kiss";14;33;Teoxane
"TEOSYAL PureSense Ultra Deep";14;34;Teoxane
"TEOSYAL PureSense Global Action";14;35;Teoxane
"TEOSYAL PureSense Ultimate 2ml";14;36;Teoxane
"Teosyal Puresense Redensity 1 (2x1ml)";86;37;"Dermal Filler"
"Teosyal Puresense Redensity 2 (2x1ml)";86;38;"Dermal Filler"
"RESTYLANE REFYNE lidocaine (1x1ml)";86;47;"Dermal Filler"
"RESTYLANE VOLYME Lidocaine (1x1ml)";86;48;"Dermal Filler"
"RESTYLANE KYSSE lidocaine (1x1ml)";86;49;"Dermal Filler"
"RESTYLANE Lidocaïne (1x1ml)";86;52;"Dermal Filler"
"RESTYLANE Lyft Lidocaïne (1x1ml)";86;53;"Dermal Filler"
"RESTYLANE Vital skinbooster (1X1ml)";86;54;"Dermal Filler"
"RESTYLANE SKINBOOSTER Lidocaïne (1x1ml)";96;55;MESOTHERAPIE
"FILORGA  NCTF 135 HA [FillMed]";16;62;Filorga
"FILORGA NCTF 135 [FillMed]";16;63;Filorga
"FILORGA M-HA 10 (3x3ml) - FillMed";86;64;"Dermal Filler"
"FILORGA M-HA 18 (1x1ml) - FillMed";86;65;"Dermal Filler"
"X-HA VOLUME";86;66;"Dermal Filler"
"X-HA 3";86;67;"Dermal Filler"
"PERFECTHA DEEP";86;93;"Dermal Filler"
"PERFECTHA DERM";86;94;"Dermal Filler"
"PERFECTHA FINE LINES";2;95;Accueil
"PERFECTHA SUBSKIN";86;96;"Dermal Filler"
