nom_produit;quantite_totale_vendue;prix_vente_total;prix_achat_total;marge_totale;pourcentage_marge
"REVOLAX Deep Lidocaine 1,1ml";47;1786.000000;1410.000000;376.000000;21.0526315789
"Hyamira Forte";23;1031.500004;713.000000;318.500004;30.8773633315
"REVOLAX SUB-Q Lidocaine 1,1ml";22;907.866670;660.000000;247.866670;27.3021004285
"SERINGUE 3DOSE BTX UNIT DOSE INJECTOR";21;907.200000;522.060000;385.140000;42.4537037037
"Revolax Deep L (1x1.1 Ml)";19;728.016673;570.000000;158.016673;21.7050898503
"HA + SKINBOOSTER MESO 5x5ml - L'ESTHETIC Paris";17;1402.500000;765.000000;637.500000;45.4545454545
"Profhilo h+L";15;1385.100000;1125.000000;260.100000;18.7784275504
"Hyaluronidase 4x500 IU";14;828.333338;532.000000;296.333338;35.7746482492
"STYLAGE M Lidocaïne (2x1ml) - VIVACY";14;1607.666662;1185.240000;422.426662;26.2757617599
"DIVES DeHyal+ Hyaluronidase 1x1500 UI";13;465.833329;212.289987;253.543342;54.4279093435
"RADIESSE 1.5ml Lidocaine";12;1375.506670;1235.400000;140.106670;10.1858226540
"RESTYLANE KYSSE lidocaine (1x1ml)";12;1163.973332;876.360000;287.613332;24.7096152543
"FILORGA  NCTF 135 HA [FillMed]";11;1675.906664;1210.000000;465.906664;27.8002751590
"RESTYLANE Lyft Lidocaïne (1x1ml)";10;1026.553333;730.300000;296.253333;28.8590298698
"INFINI PREMIUM XL + LIDO";9;367.499997;258.300000;109.199997;29.7142851405
"CLH Lipase 5x10ml - MCCM";9;762.600000;534.600000;228.000000;29.8977183320
"DIVES RICH HAIR 1x5ml";9;142.499997;93.870000;48.629997;34.1263144027
"Lemon Bottle Ampoule Solution 5x10ml";9;993.133332;675.000000;318.133332;32.0332952031
"YELLOW PEEL (3x5ml) - SIMILDIET";8;320.000000;217.840000;102.160000;31.9250000000
"Saypha Filler Lidocaine 1ml - Croma ( Ex Princess Filler Lido)";8;367.200000;288.000000;79.200000;21.5686274510
"STYLAGE HYDRO";8;256.000000;200.000000;56.000000;21.8750000000
"RADIESSE (1x1.5ml)";8;904.023334;756.880000;147.143334;16.2764973498
"DIVES Organic Silicon 10ml";8;86.000000;50.800000;35.200000;40.9302325581
"PEELING MANDELIC (MESOPEEL MANDELIC 50%) - SIMILDIET";8;398.400000;217.840000;180.560000;45.3212851406
"DIVES MED BTX 5ml";8;346.160000;115.360000;230.800000;66.6743702334
"INFINI PREMIUM XL";7;287.000000;217.000000;70.000000;24.3902439024
"DIVES MED L-CARNITINE 500";7;746.666669;445.060000;301.606669;40.3937501863
"RESTYLANE SKINBOOSTERS Vital Light lidocaine 1x1ml";6;375.000000;286.560000;88.440000;23.5840000000
"JUVEDERM ULTRA 3 (2x1ml)";6;1134.000000;829.140000;304.860000;26.8835978836
"REVOLAX Fine Lidocaine 1,1ml";6;251.500002;180.000000;71.500002;28.4294240284
"Stylage M (2x1ml) - VIVACY";6;587.500002;447.960000;139.540002;23.7514896213
"Deoxycholic 10% 5x10ml - MCCM";5;521.156666;269.700000;251.456666;48.2497265035
"Teosyal Puresense Redensity 2 (2x1ml)";5;687.500000;575.000000;112.500000;16.3636363636
"Belotero Soft Lidocaine";5;422.500000;278.250000;144.250000;34.1420118343
"STYLAGE L Lidocaine (2x1ml)";5;624.166665;483.300000;140.866665;22.5687581377
"DIVES LipoShoock+ 10ml";5;112.500000;80.150000;32.350000;28.7555555556
"RESTYLANE 1x1ml - GALDERMA";5;350.000000;334.799995;15.200005;4.3428585714
"Hyaluronidase 1500 UI 5x5ml - MCCM";4;628.440000;309.600000;318.840000;50.7351537140
"JUVEDERM ULTRA 4 (2x1ml)";4;677.250000;552.760000;124.490000;18.3816906608
"Canules Magic Needle 25G/50 (boite de 25 canules)";4;266.666668;190.000000;76.666668;28.7500003562
"HYAMIRA 40 MG BOOSTER (2 ml)";4;195.333332;139.720000;55.613332;28.4709892728
"BTX ARGIRELINE 20x2ml - MCCM";4;118.333332;84.000000;34.333332;29.0140837072
"RADIESSE (1x3ml)";4;763.333332;667.800000;95.533332;12.5152836900
"JUVEDERM ULTRA SMILE (2X0,55ML)";4;473.800000;379.360000;94.440000;19.9324609540
"Hyaluronidase Liquide 20 x 5ml - MCCM";4;270.000000;235.200000;34.800000;12.8888888889
"CytoCare 532 (10x5ml)";4;756.666668;700.000000;56.666668;7.4889869472
"STYLAGE XXL  (2x1ml)";4;600.000000;458.640000;141.360000;23.5600000000
"DIVES Argireline Peptide 10% 10ml";4;56.666668;26.320000;30.346668;53.5529422693
"STYLAGE HYDRO MAX";4;171.833332;136.000000;35.833332;20.8535396380
