nom_produit;prix_vente_ht;prix_achat_ht;quantite_vendue_2024
"A20P Peeling 10x5ml - MCCM";167.500000;101.400000;2
"ANTIAGING COCKTAIL 5x10ml - MCCM";60.833333;38.400000;8
"Artichoke 100 x 5ml - MCCM";58.916667;46.140000;5
"Artichoke 20 x 5ml - MCCM";23.125000;17.000000;17
"ARTICHOKE 20x2ml - SIMILDIET";41.666667;27.930000;1
"Asian Centella 20 x 5ml - MCCM";32.583333;23.940000;8
"B-Complex vitamines - MCCM";43.916667;27.540000;16
"Biotine Hixidrin 20 x 2ml - MCCM";33.916667;25.140000;9
"Biphasic 2&1 200ml Normal/Dry Skin - MCCM";20.416667;13.140000;1
"Biphasic 2&1 200ml Oily/Mixed Skin - MCCM";22.083333;13.740000;7
"BTX ARGIRELINE 20x2ml - MCCM";29.583333;21.000000;43
"BTX DMAE 1x10ml - MCCM";31.883333;11.280000;18
"BTX DMAE 5x10ml - MCCM";129.000000;56.400000;4
"BTX Gold Cream - MCCM";70.000000;47.940000;2
"Caféine 10% 100 x 1ml - MCCM";155.833333;107.400000;0
"Caféine 10% 20 x 1ml - MCCM";36.500000;22.740000;12
"CELLESTABYL Anti cellulite ( double menton cellulite localisée)- MCCM";31.833333;25.740000;4
"CELLULITE COCKTAIL (meso) 10x5 ml - MCCM";87.500000;49.740000;0
"CELLULITE COCKTAIL (meso) 5x10ml - MCCM";88.583333;35.400000;17
"Chondroitin Mesoplus 20 x 2ml - MCCM";37.500000;20.940000;0
"Circle Contour - MCCM";39.833333;24.450000;3
"CLH Lipase 5x10ml - MCCM";82.000000;59.400000;158
"Collagenase 5x1500 U.I. - MCCM";117.500000;77.990000;80
"COLLAGÈNE ANTI-AGE À BOIRE - MCCM";43.333333;30.800000;0
"COLLAGENE PYRUVATE 20x2ml - MCCM";37.500000;23.700000;12
"CONDROTROFIN 20x2ml - SIMILDIET";39.166667;29.110000;16
"Crème 24H DNA Platinum";63.750000;0.000000;0
"CREME A L'ARGIRELINE ANTI RIDE - MCCM";60.666667;37.200000;6
"CRÈME ANTIAGE";29.250000;21.000000;0
"CRÈME ANTISMOG";56.250000;0.000000;0
"CRÈME ATOPICAL - MCCM";41.583333;29.340000;2
"CRÈME CHAMPAGNE";42.000000;32.939999;0
"Crème dorée BTX";63.750000;0.000000;0
"Crème douce équilibre";28.500000;0.000000;0
"CRÈME GLUTATHION";58.500000;0.000000;0
"CRÈME HYDRAFACE";25.500000;0.000000;0
"CRÈME KERA BALANCE - PRÉ-PEEL";26.250000;17.280000;0
"Crème magique XR Cell";63.000000;41.940000;0
"CRÈME PORESREPAIR";50.833333;32.340000;2
"CRÈME PROTEOHYDRA";38.250000;0.000000;0
"CRÈME PURIFIANTE";31.500000;0.000000;0
"Crème Radiant - MCCM";37.500000;29.940000;0
"CRÈME SMART ANTI-AGING";37.500000;0.000000;0
"CRÈME VITAMINE C 180";37.500000;0.000000;0
"Crème VLIFTING - MCCM";47.866667;29.940000;2
"CRÈME WA ARBUTINE - MCCM";73.333333;37.200000;6
"Deoxycholic 10% 5x10ml - MCCM";88.333333;53.940000;80
"DEOXYCHOLIC 1500 UI";137.250000;0.000000;0
"Dexpanthenol 20x5ml - MCCM";30.950000;22.740000;8
"DMAE 3% (effet tenseur et raffermissant) 20x5ml - MCCM";33.500000;22.620000;55
"DNA 3 (20x2ml) - SIMILDIET";47.833333;30.860000;9
"DNA MESO (stimule la régénération des cellules et le tissu conjonctif) 5 x 5ml - MCCM";69.666667;53.940000;0
"DNA MESO GEL 20 x 2.5ml - MCCM";68.000000;42.600000;1
"EXOSOMES EXOS ANTIAGE simildiet";170.833333;92.000000;69
"FACE ANTI-AGING CREAM XTRA 250 ML - SIMILDIET";124.166667;87.500000;6
"FACE ANTI-AGING CREAM XTRA 50 ML - SIMILDIET";32.000000;23.940000;21
