nom_produit;prix_achat_ht;stock_actuel;etat
"A20P Peeling 10x5ml - MCCM";101.400000;0;Désactivé
"ACTIPOCHE Coussin Thermique 10 x 15 cm";2.000000;10;Activé
"AGE REBOOST - Crème Restructurante Anti-Âge | Vivacy";50.000000;2;Activé
"AIGUILLE MÉSOTHÉRAPIE 27G/0.4x12 mm";0.000000;0;Désactivé
"Aiguille TSK The Invisible Needle 34g*9 mm";67.000000;8;Activé
"AIGUILLES MESBIO 27G/0.4x4 MM";11.130000;-3;Activé
"AIGUILLES MESBIO 27G/0.4x6 MM";26.000000;2;Activé
"AIGUILLES MESBIO 27G/0.4x8 MM";11.190000;-3;Activé
"AIGUILLES MESBIO 30Gx12 MM (Paroi ultra fine)";17.150000;1;Activé
"AIGUILLES MESBIO 30Gx4 MM (Paroi ultra fine)";16.870000;7;Activé
"AIGUILLES MESBIO 30Gx8 MM (Paroi ultra fine)";16.800000;5;Activé
"AIGUILLES MESBIO 31G/0.25x6MM";26.000000;5;Activé
"AIGUILLES MESBIO 31Gx0.25*6 MM (Paroi ultra fine)";20.300000;-1;Activé
"AIGUILLES MESBIO 31Gx12 MM (Paroi ultra fine)";20.300000;3;Activé
"AIGUILLES MESBIO 31Gx4 MM (Paroi ultra fine)";19.600000;6;Activé
"AIGUILLES MESBIO 31Gx8 MM (Paroi ultra fine)";20.300000;6;Activé
"AIGUILLES MESBIO 32Gx12 MM (Paroi ultra fine)";24.500000;5;Activé
"AIGUILLES MESBIO 32Gx4 MM (Paroi ultra fine)";24.500000;8;Activé
"AIGUILLES MESBIO 32Gx8 MM (Paroi ultra fine)";24.500000;6;Activé
"AIGUILLES MESBIO 33G/0.23x12 MM";34.300000;5;Activé
"AIGUILLES MESBIO 33G/0.23x4 MM";34.360000;5;Activé
"AIGUILLES MESBIO 33G/0.23x8 MM";34.300000;5;Activé
"AIGUILLES MESBIO 34Gx12 MM (Paroi ultra fine)";46.260000;8;Activé
"AIGUILLES MESBIO 34Gx4 MM (Paroi ultra fine)";47.660000;4;Activé
"AIGUILLES MESBIO 34Gx8 MM (Paroi ultra fine)";47.660000;3;Activé
"AIGUILLES MÉSOTHÉRAPIE PIC";0.000000;0;Désactivé
"AIGUILLES MÉSOTHÉRAPIE TSK 30G";0.000000;0;Désactivé
"AKN-ID 4x2,5ml - INNOAESTHETICS";28.000000;6;Activé
"Anti-Acne Peel 50ml - L'Esthetic Paris";41.300000;8;Activé
"Anti-Age Intensif Anti-Rides Visage - CEBELIA";21.000000;0;Activé
"Anti-Aging Peel 50ml - L'Esthetic Paris";41.000000;5;Activé
