"Prestashop Product ID";"Reference (SKU)";UPC;EAN;"Product Name";Manufacturer
6324_0;';;'3100000063238;"Infini Meso L";
6323_0;';;'3100000063238;"Infini Meso M";
6297_0;';;'3760054603707;"LCE balm";
6299_0;';;'3760054601109;"Extreme Care";
6302_0;';;'3760054600102;"Gentle Soap";
6304_0;';;'3760054600607;"Soothing Nourishing Moisturizing Milk - CEBELIA";
6305_0;';;'3760054603103;"LCE Regard, anti-puffiness, anti-dark circles treatment - CEBELIA";
6311_0;';;'3760054600058;"Anti-Hair Loss Lotion";
132_0;'9999900006766;;'3100000001322;"DESIRIAL PLUS (stylage) (4ML of 2x2ml)";VIVACY
6314_0;';;'3100000063146;"B. Braun Injekt-F Fine Dosing Syringes";
6314_120;';;'3100631401201;"B. Braun Injekt-F Fine Dosing Syringes (box of 10)";
6314_121;';;'3100631401218;"B. Braun Injekt-F Fine Dosing Syringes (1)";
6314_124;';;'3100631401249;"B. Braun Injekt-F Fine Dosing Syringes (box of 100)";
6313_0;';;'3518646217142;"Septimyl 0.5% Chlorhexidine Solution Spray 100ml";
6312_0;';;'3401545582360;"ACTIPOCHE Thermal Cushion 10 x 15 cm";
724_0;';;'3100000007249;"Sisthaema Hevo T (1x2ml)";
14_0;'9999900001686;;'3100000000141;"JUVEDERM ULTRA 4 (2x1ml)";Juvederm
821_0;';;'3100000007553;"Premium Meso N-HA - INFINI";
819_0;';;'3100000007447;"AIGUILLES MESBIO 27G/0.4x4 MM";"Needle Concept"
818_0;';;'3100000007553;"Télomère+ - BODYPUR";
817_0;';;'3100000007553;"Degreasing Solution 100ml - INNOAESTHETICS";
9_0;'9999900001709;;'3100000000097;"JUVEDERM VOLUMA avec Lidocaïne (2x1ml)";Juvederm
498_0;';;'3100000004989;"NoFi Kit - Pack Sterile | Hyaluronic Filler Market";NOFI
816_0;';;'3100000001476;"Hydrozid 200 ml";
815_0;';;'3100000001476;"Belotero Lidocaine Soft 1ml";MERZ
814_0;';;'3100000001483;"BELOTERO Lidocaine Balance";MERZ
813_0;';;'3100000007553;"Über Peel Pro 118ml - DP DERMACEUTICALS";
811_0;';;'3100000001506;"BELOTERO Lidocaine Volume";MERZ
810_0;';;'3100000001490;"BELOTERO Lidocaine Intense";MERZ
809_0;';;'3100000007553;"Über Peel Pro 30 ml - DP DERMACEUTICALS";
808_0;';;'3100000007553;"LumaFuse Mask (x5) - DP DERMACEUTICALS";
807_0;';;'3100000007553;"Led Face Mask - DP DERMACEUTICALS";
806_0;';;'3100000007553;"Hyla Active 3D Sculptured Mask (box of 33)  - DP DERMACEUTICALS";
806_116;';;'3100080601160;"Hyla Active 3D Sculptured Mask (box of 33)  - DP DERMACEUTICALS (Box of 5 masks)";
806_117;';;'3100080601177;"Hyla Active 3D Sculptured Mask (box of 33)  - DP DERMACEUTICALS (1 box of 33 masks)";
804_0;';;'3100000007553;"MG Exo-Skin (5x5ml) - DP DERMACEUTICALS";
803_0;';;'3100000007553;"MG Collection-CLR (5x5ml) - DP DERMACEUTICALS";
802_0;';;'3100000007553;"MG Collection-RAS (5x5ml) - DP DERMACEUTICALS";
801_0;';;'3100000007553;"MG Collection-Ha35 (5x5ml) - DP DERMACEUTICALS";
800_0;';;'3100000007553;"MG Collection-Ha35+ (5x5ml) - DP DERMACEUTICALS";
799_0;';;'3100000007553;"MG Collection-BL (5x5ml) - DP DERMACEUTICALS";
798_0;';;'3100000007553;"Hyla Active 250ml - DP DERMACEUTICALS";
797_0;';;'3100000007553;"Vitamin Rich Repair 250ml - DP DERMACEUTICALS";
796_0;';;'3100000007553;"Tri-Phase Cleanser 250ml - DP DERMACEUTICALS";
795_0;';;'3100000007553;"Cliniprep 100ml - DP DERMACEUTICALS";
794_0;';;'3100000005139;"ME LINE 01 Moist 250ml - INNOAESTHETICS";
792_0;';;'3100000005139;"ME LINE 01 RESTORE 250ml - INNOAESTHETICS";
791_0;';;'3100000007911;"Monsieur Skin Care - Soin Hydratant Expert 50ml | Vivacy";VIVACY
785_0;';;'3100000007553;"Connecteur Radiesse BAXTER";
784_0;';;'3100000007553;"Canules MERZ AESTHETICS 20u (22G 25G, 27G / 25mm, 28mm, 50mm)";
784_69;';;'3100007840696;"Canules MERZ AESTHETICS 20u (22G 25G, 27G / 25mm, 28mm, 50mm) (38 mm - 25G)";
784_70;';;'3100007840702;"Canules MERZ AESTHETICS 20u (22G 25G, 27G / 25mm, 28mm, 50mm) (50 mm - 25G)";
784_71;';;'3100007840719;"Canules MERZ AESTHETICS 20u (22G 25G, 27G / 25mm, 28mm, 50mm) (25 mm - 27G)";
784_72;';;'3100007840726;"Canules MERZ AESTHETICS 20u (22G 25G, 27G / 25mm, 28mm, 50mm) (38 mm - 27G)";
783_0;';;'3100000007553;"DNA Super Booster 1x10ml - INFINI";
782_0;';;'3100000007553;"N-Premium Meso 5x10ml - INFINI";
781_0;';;'3100000007553;"Remedium Ha+ 5x10ml (Hyaluronidase 1500 IU) - INFINITE";
781_98;';;'3100007810989;"Remedium Ha+ 5x10ml (Hyaluronidase 1500 IU) - INFINITE (One box (5x10ml))";
780_0;';;'3100000007553;"Premium BTX (5X10 ml) - INFINI";
780_110;';;'3100078001101;"Premium BTX (5X10 ml) - INFINI (One box (5x10ml))";
780_113;';;'3100078001132;"Premium BTX (5X10 ml) - INFINI (1 vial)";
779_0;';;'3100000007553;"Meso Whitening Max 5x10ml - INFINI";
777_0;';;'3100000007553;"Meso Hair Max 5x10ml - INFINI";
775_0;';;'3100000007553;"Skin Recovery 5x5ml - INNOAESTHETICS";
774_0;';;'3100000007553;"T.C. Age 5x5ml - INNOAESTHETICS";
773_0;';;'3100000007553;"Glyco-Age 30ml - INNOAESTHETICS";
772_0;';;'3100000007553;"Bio C 2x2x5ml - INNOAESTHETICS";
771_0;';;'3100000007553;"Mandelage 30ml - INNOAESTHETICS";
770_0;';;'3100000007553;"Ultimate Eye Corrector 2x10g - INNOAESTHETICS";
769_0;';;'3100000007553;"Redness-ID 4x2,5ml - INNOAESTHETICS";
768_0;';;'3100000007553;"Firming 4x5ml - INNOAESTHETICS";
767_0;';;'3100000007553;"Face Nade 4x2,5ml - INNOAESTHETICS";
766_0;';;'3100000007553;"Tigf 4x2,5ml - INNOAESTHETICS";
765_0;';;'3100000007553;"DNA Pept-Ha 4x2,5ml - INNOAESTHETICS";
764_0;';;'3100000007553;"Hair Vital 4x2,5ml - INNOAESTHETICS";
763_0;';;'3100000007553;"Hair Loss Control 4x2,5ml - INNOAESTHETICS";
762_0;';;'3100000007553;"AKN-ID 4x2,5ml - INNOAESTHETICS";
759_0;';;'3100000007553;"Sensitive-ID 4x2,5ml - INNOAESTHETICS";
758_0;';;'3100000007553;"Cynara Plus+ 4x5ml - INNOAESTHETICS";
757_0;';;'3100000007553;"Slimming 4x5ml - INNOAESTHETICS";
756_0;';;'3100000007553;"Draining PPC 4x5ml - INNOAESTHETICS";
755_0;';;'3100000007553;"Vitamin Complex 4x5ml - INNOAESTHETICS";
754_0;';;'3100000007546;"Fill Up 4x2,5ml - INNOAESTHETICS";
753_0;';;'3100000007539;"Restructurer 4x5ml - INNOAESTHETICS";
752_0;';;'3100000007522;"Matrix 4x2,5ml - INNOAESTHETICS";
747_0;';;'3100000007478;"Restylanes injectable filler Lyft lidocaines";
746_0;';;'3100000007461;"DIVES - Bright eyes";
746_114;';;'3100074601145;"DIVES - Bright eyes (10x5ml)";
746_115;';;'3100074601152;"DIVES - Bright eyes (1x5ml)";
745_0;';;'3100000007454;"Profhilo Body Kit - IBSA";IBSA
736_0;';;'3100000007362;"AIGUILLES MESBIO 30Gx4 MM (Paroi ultra fine)";"Needle Concept"
734_0;';;'3100000007348;"AIGUILLES MESBIO 30Gx12 MM (Paroi ultra fine)";"Needle Concept"
733_0;';;'3100000007331;"AIGUILLES MESBIO 31Gx12 MM (Paroi ultra fine)";"Needle Concept"
730_0;';;'3100000007300;"AIGUILLES MESBIO 32Gx8 MM (Paroi ultra fine)";"Needle Concept"
719_0;';;'3100000007195;"ART FILLER UNIVERSAL 2x1ml - FILLMED";Fillmed
716_0;';;'3100000007164;"ART FILLER FINE LINES 2x1ml - FILLMED";Fillmed
715_0;';;'3100000007157;"MAILI EXTREME (coffret 4x1ml)";
6274_0;'4005800276767;;'4005800276767;;EUCERIN
6258_0;'3264680023323;;'3264680023323;;Nuxe
6255_0;'3522930003441;;'3522930003441;;CAUDALIE
6254_0;'3522932003562;;'3522932003562;;CAUDALIE
6253_0;'3522930003519;;'3522930003519;;CAUDALIE
6252_0;'3701129801710;;'3701129801710;;BIODERMA
6234_0;'3282770206739;;'3282770206739;;KLORANE
6232_0;'3282770206746;;'3282770206746;;KLORANE
6231_0;'3282770206784;;'3282770206784;;KLORANE
6230_0;'3661434008740;;'3661434008740;;URIAGE
6229_0;'3282770206760;;'3282770206760;;KLORANE
6228_0;'3282770206418;;'3282770206418;;KLORANE
6226_0;'3282770207934;;'3282770207934;;KLORANE
6221_0;'4005800238963;;'4005800238963;;EUCERIN
6217_0;'3662361002603;;'3662361002603;;SVR
6208_0;'3578835500691;;'3578835500691;"Arkopharma Arkogélules BIO Ortie x 45";ARKOPHARMA
6205_0;'3578835502121;;'3578835502121;"Arkopharma Arkogélules BIO Huile de Bourrache 60 gélules";ARKOPHARMA
6199_0;'3578835503470;;'3578835503470;;ARKOPHARMA
6197_0;'3578835502688;;'3578835502688;;ARKOPHARMA
6190_0;'3578835500578;;'3578835500578;;ARKOPHARMA
6184_0;'3578835503159;;'3578835503159;;ARKOPHARMA
6182_0;'3578835503395;;'3578835503395;;ARKOPHARMA
6173_0;'3578835500554;;'3578835500554;;ARKOPHARMA
6171_0;'3578835502107;;'3578835502107;;ARKOPHARMA
6168_0;'3578835503111;;'3578835503111;;ARKOPHARMA
6166_0;'3282770143560;;'3282770143560;;KLORANE
6164_0;'3282770144819;;'3282770144819;;KLORANE
6163_0;'8059307160858;;'8059307160858;;ROSEBAIE
6161_0;'3282770149333;;'3282770149333;;KLORANE
6160_0;'3282770203417;;'3282770203417;;KLORANE
6159_0;'3282770143522;;'3282770143522;;KLORANE
6156_0;'3282770144871;;'3282770144871;;KLORANE
6153_0;'8059307161039;;'8059307161039;;ROSEBAIE
6152_0;'3282770144659;;'3282770144659;;KLORANE
6151_0;'3282770149432;;'3282770149432;;KLORANE
6150_0;'8059307160841;;'8059307160841;;ROSEBAIE
6149_0;'8059307160070;;'8059307160070;;ROSEBAIE
6148_0;'3282770145311;;'3282770145311;;KLORANE
6139_0;'3701129804056;;'3701129804056;;BIODERMA
6124_0;'3661434008795;;'3661434008795;"Uriage Crème Lavante 200 ml";URIAGE
6111_0;'8720182039217;;'8720182039217;;Parongencyl
6110_0;'8717163687680;;'8717163687680;;Zendium
6105_0;'8710522798164;;'8710522798164;;Parongencyl
6102_0;'8710604763370;;'8710604763370;;Parongencyl
6101_0;'3433425095417;;'3433425095417;;VICHY
6097_0;'3337875735759;;'3337875735759;;"LA ROCHE-POSAY"
6096_0;'3662361001866;;'3662361001866;;SVR
6095_0;'3282770145014;;'3282770145014;;A-DERMA
6093_0;'3701129801727;;'3701129801727;;BIODERMA
6092_0;'3337875735742;;'3337875735742;;"LA ROCHE-POSAY"
6085_0;'3522930003892;;'3522930003892;;CAUDALIE
6082_0;'3337875685818;;'3337875685818;;"LA ROCHE-POSAY"
6075_0;'3522930003601;;'3522930003601;;CAUDALIE
6073_0;'3350900000134;;'3350900000134;;"Laboratoires Embryolisse"
6072_0;'3522931003693;;'3522931003693;;CAUDALIE
6063_0;'3662361002429;;'3662361002429;;SVR
6061_0;'4005800220203;;'4005800220203;;EUCERIN
6059_0;'3282770144604;;'3282770144604;;AVENE
6057_0;'3282770144536;;'3282770144536;;AVENE
6048_0;'3661434004865;;'3661434004865;;URIAGE
6047_0;'3337875777773;;'3337875777773;;"LA ROCHE-POSAY"
6044_0;'3282770147322;;'3282770147322;;KLORANE
6042_0;'3337875708289;;'3337875708289;;"LA ROCHE-POSAY"
6041_0;'3522930003175;;'3522930003175;;CAUDALIE
6040_0;'3522930003083;;'3522930003083;;CAUDALIE
6038_0;'3522931003075;;'3522931003075;;CAUDALIE
6035_0;'3522930003144;;'3522930003144;;CAUDALIE
6033_0;'3337875777759;;'3337875777759;;"LA ROCHE-POSAY"
6017_0;'3522930003502;;'3522930003502;;CAUDALIE
6015_0;'3337875774017;;'3337875774017;;VICHY
6010_0;'3337875774123;;'3337875774123;;VICHY
6009_0;'3662361001958;;'3662361001958;;SVR
6007_0;'3282770146929;;'3282770146929;;KLORANE
6006_0;'3337875731409;;'3337875731409;;"LA ROCHE-POSAY"
6005_0;'3522930003397;;'3522930003397;;CAUDALIE
6003_0;'3661434011931;;'3661434011931;;URIAGE
5998_0;'3337875731638;;'3337875731638;;"LA ROCHE-POSAY"
5995_0;'3282770208016;;'3282770208016;;KLORANE
5994_0;'3522930003328;;'3522930003328;;CAUDALIE
5993_0;'3350900000011;;'3350900000011;;"Laboratoires Embryolisse"
5991_0;'3337875760201;;'3337875760201;;"LA ROCHE-POSAY"
5989_0;'3282770208047;;'3282770208047;;KLORANE
5985_0;'3282770207552;;'3282770207552;;KLORANE
5984_0;'3662361001934;;'3662361001934;;SVR
5982_0;'3337875800853;;'3337875800853;;"LA ROCHE-POSAY"
5978_0;'3596200080265;;'3596200080265;;WELEDA
5977_0;'3337875777797;;'3337875777797;;"LA ROCHE-POSAY"
5976_0;'3282770388336;;'3282770388336;;AVENE
5972_0;'3282770138801;;'3282770138801;;AVENE
5970_0;'3662361001835;;'3662361001835;;SVR
5940_0;'7611916160769;;'7611916160769;;WELEDA
5939_0;'7611916124501;;'7611916124501;;WELEDA
5938_0;'7611916160738;;'7611916160738;;WELEDA
5933_0;'8001090433831;;'8001090433831;;Vicks
5927_0;'3661434008504;;'3661434008504;;URIAGE
5924_0;'3661434008276;;'3661434008276;;URIAGE
5923_0;'3661434008498;;'3661434008498;;URIAGE
5919_0;'3664492000909;;'3664492000909;;URGO
5916_0;'3664492000442;;'3664492000442;;URGO
5914_0;'3664492000251;;'3664492000251;;URGO
5912_0;'3664492017877;;'3664492017877;;URGO
5901_0;'3662361001910;;'3662361001910;;SVR
5877_0;'3341170287004;;'3341170287004;;SCHOLL
5870_0;'3700695221229;;'3700695221229;;"SANTE VERTE"
5853_0;'3700399101438;;'3700399101438;;SAFORELLE
5837_0;'5054563106131;;'5054563106131;;Polident
5823_0;'3059944151009;;'3059944151009;;Optone
5817_0;'3700343903002;;'3700343903002;;Mylan
5813_0;'9001616808906;;'9001616808906;;MAM
5812_0;'9001616811623;;'9001616811623;;MAM
5811_0;'9001616808913;;'9001616808913;;MAM
5810_0;'9001616808890;;'9001616808890;;MAM
5809_0;'3760007337109;;'3760007337109;;Luxéol
5800_0;'3401577318241;;'3401577318241;;LERO
5787_0;'3664391000208;;'3664391000208;;Laudavie
5770_0;'3700399101384;;'3700399101384;;IPRAD
5756_0;'7630019904711;;'7630019904711;;GUM
5755_0;'7630019904704;;'7630019904704;;GUM
5744_0;'3041091474988;;'3041091474988;;Gallia
5743_0;'3041091729248;;'3041091729248;;Gallia
5741_0;'3499320009546;;'3499320009546;;"Galderma Spirig"
5739_0;'3700221300527;;'3700221300527;;"FORTE PHARMA"
5738_0;'8720182015464;;'8720182015464;;FLUOCARIL
5737_0;'8710522974384;;'8710522974384;;FLUOCARIL
5735_0;'8710604763233;;'8710604763233;;FLUOCARIL
5732_0;'8710604763578;;'8710604763578;;FLUOCARIL
5726_0;'5000488302851;;'5000488302851;;Famadem
5723_0;'3577056022180;;'3577056022180;;"FABRE SANTE"
5721_0;'3577056022456;;'3577056022456;;"FABRE DENTAIRE"
5719_0;'3577056023088;;'3577056023088;;"FABRE DENTAIRE"
5718_0;'3577056023583;;'3577056023583;;"FABRE DENTAIRE"
5717_0;'3577056024238;;'3577056024238;;"FABRE DENTAIRE"
5716_0;'3577056024221;;'3577056024221;;"FABRE DENTAIRE"
5712_0;'4005800294747;;'4005800294747;;EUCERIN
5703_0;'4005800271694;;'4005800271694;;ELASTOPLAST
5699_0;'4005800281280;;'4005800281280;;ELASTOPLAST
5698_0;'4005800271786;;'4005800271786;;ELASTOPLAST
5695_0;'4005800271601;;'4005800271601;;ELASTOPLAST
5694_0;'4005800271663;;'4005800271663;;ELASTOPLAST
5693_0;'4005900923042;;'4005900923042;;ELASTOPLAST
5691_0;'4005800007378;;'4005800007378;;ELASTOPLAST
5690_0;'4005900833792;;'4005900833792;;ELASTOPLAST
5687_0;'4005800241161;;'4005800241161;;ELASTOPLAST
5686_0;'3770009584005;;'3770009584005;;Efficare/Effiscience
5683_0;'3282770141467;;'3282770141467;;DUCRAY
